,AM_SE,AM_IA,DLDA_SE,DLDA_IA,DSGT_SE,DSGT_IA,ECCF_SE,ECCF_IA,DS_SE,DS_IA,DigitalSL_TW,DSL_OP,BE_TW,BE_OP,DataSL_TW,DSL_OP.1,OOPM_TW,OOPM_OP,GPA_SEMIII,cluster
99,13,8,8,15,34,15,13,12,20,11,22,23,19,22,22,22,45,47,0.0,5
121,15,4,32,12,37,13,21,9,37,13,12,12,15,16,14,0,34,36,0.0,5
171,2,8,13,8,40,12,32,8,25,10,14,13,17,17,18,14,44,35,0.0,5
207,14,7,32,10,32,11,33,10,34,4,16,14,18,20,14,17,26,32,0.0,5
208,6,3,17,10,23,9,32,5,55,10,13,12,15,0,14,13,25,44,0.0,5
212,13,8,16,6,32,9,19,10,16,10,11,12,20,19,13,12,33,33,0.0,5
213,11,10,10,10,32,10,32,9,32,13,15,14,18,17,14,16,29,40,0.0,5
222,13,10,19,12,43,16,22,11,22,14,19,14,20,19,19,21,36,44,0.0,5
308,18,9,17,5,42,9,19,3,32,8,23,18,21,17,20,15,43,42,0.0,5
340,0,8,16,10,32,9,32,8,55,10,13,12,15,12,14,12,35,44,0.0,5
341,5,8,32,10,32,9,10,10,32,10,11,12,20,19,13,12,33,33,0.0,5
