,AM_SE,AM_IA,DLDA_SE,DLDA_IA,DSGT_SE,DSGT_IA,ECCF_SE,ECCF_IA,DS_SE,DS_IA,DigitalSL_TW,DSL_OP,BE_TW,BE_OP,DataSL_TW,DSL_OP.1,OOPM_TW,OOPM_OP,GPA_SEMIII,cluster
52,38,10,33,11,44,15,41,14,42,12,20,19,21,22,20,22,40,39,6.15,15
72,38,10,43,16,48,20,44,16,39,13,23,21,21,22,22,16,45,47,6.85,15
100,36,10,40,11,42,15,45,16,42,17,20,21,20,21,22,19,46,46,6.73,15
162,22,11,43,12,37,15,59,12,32,15,17,19,20,20,21,17,37,33,0.0,15
177,44,14,37,7,50,17,50,12,35,15,21,14,21,21,23,20,43,36,6.62,15
178,20,10,35,10,32,15,56,11,23,13,21,21,20,19,22,21,47,44,0.0,15
191,34,12,39,11,43,15,51,13,47,12,19,18,21,20,20,20,43,34,6.58,15
193,32,9,36,11,39,17,54,12,43,15,19,18,20,19,21,19,42,44,6.27,15
194,32,9,42,13,40,15,55,14,26,8,18,20,22,20,19,21,40,47,6.19,15
211,32,9,45,4,41,15,43,9,40,16,22,22,18,19,18,19,40,45,0.0,15
221,19,11,55,17,50,18,57,15,48,16,23,22,23,20,22,18,46,47,0.0,15
223,18,8,35,12,39,12,51,13,44,16,18,13,22,20,16,21,40,37,0.0,15
225,36,11,32,10,52,20,50,11,32,19,19,18,17,21,17,20,39,42,6.54,15
298,32,10,37,8,38,10,54,9,37,10,23,18,21,17,21,10,39,36,5.85,15
335,32,11,44,7,44,12,49,10,45,8,11,13,19,12,16,16,31,29,5.73,15
337,32,10,35,10,32,15,56,11,34,13,21,21,20,19,22,21,47,44,6.04,15
