,Medu,Fedu,traveltime,studytime,failures,internship,freetime,goout,health,absences,GPA,sex_F,famsize_GT3,Mjob_at_home,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_at_home,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,guardian_father,guardian_mother,guardian_other,extra_learning_yes,sports_yes,higher_yes,cluster
2,1,1,1,2,0,2,3,2,3,6,0.0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,14
5,4,3,1,2,0,1,4,2,5,6,8.5,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,14
19,4,3,1,1,0,1,1,3,5,6,7.85,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,14
25,2,2,1,1,0,2,2,2,5,6,6.23,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,14
45,4,3,1,2,0,0,2,2,5,4,0.0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,14
69,3,1,2,4,0,2,4,2,3,6,6.46,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,14
88,2,2,2,2,0,1,4,2,3,6,8.15,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,14
89,4,4,1,2,0,2,1,3,5,6,6.96,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,14
95,1,1,2,4,0,2,1,2,1,4,7.88,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,14
96,4,3,2,1,0,0,3,3,4,6,5.04,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,14
106,2,2,1,4,0,1,1,2,3,4,0.0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,14
111,3,3,1,3,0,2,1,2,2,4,0.0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,14
117,3,3,2,1,0,1,4,2,5,6,6.46,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,14
129,2,3,2,3,0,2,2,3,1,4,8.95,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,14
133,1,1,3,1,0,1,3,3,4,6,9.17,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,14
136,2,1,4,1,0,1,2,1,2,4,7.58,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,14
