,Medu,Fedu,traveltime,studytime,failures,internship,freetime,goout,health,absences,GPA,sex_F,famsize_GT3,Mjob_at_home,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_at_home,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,guardian_father,guardian_mother,guardian_other,extra_learning_yes,sports_yes,higher_yes,cluster
34,3,2,1,1,0,1,4,3,5,4,7.62,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,5
35,2,3,2,1,0,1,5,1,5,4,9.38,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,5
48,4,2,1,2,0,1,3,3,5,4,6.08,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,5
82,3,2,1,2,0,1,4,4,5,4,9.23,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,5
87,4,2,1,3,0,2,3,3,1,4,8.58,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,5
107,3,3,1,3,0,2,3,3,5,4,0.0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,5
114,2,1,1,2,0,2,4,2,5,4,0.0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,5
152,2,2,2,1,0,2,3,3,2,4,8.89,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,5
154,1,1,1,1,0,1,4,4,1,4,7.78,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,5
175,3,2,2,2,2,1,4,4,3,4,8.52,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,5
191,3,3,1,2,0,2,3,4,4,4,8.96,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,5
194,4,3,1,2,0,2,4,3,3,4,8.59,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,5
215,2,3,1,2,0,1,4,3,4,4,7.7,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,5
239,3,1,1,2,0,0,3,3,4,4,7.67,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,5
251,2,1,1,1,0,0,5,2,5,4,7.93,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,5
258,3,2,1,2,0,2,4,2,3,4,6.74,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,5
260,1,2,1,1,0,1,3,5,5,4,6.59,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,5
265,1,1,2,3,0,1,3,3,5,4,7.44,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,5
277,1,1,1,2,0,2,3,4,5,4,8.11,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,5
283,3,3,3,2,1,2,3,3,2,4,7.63,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,5
284,2,1,1,1,2,1,2,5,5,4,8.37,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,5
291,2,1,3,2,1,2,4,5,5,4,7.93,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,5
293,1,1,1,3,0,0,4,3,3,4,7.59,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,5
294,2,2,1,2,0,2,2,3,5,4,7.59,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,5
399,3,2,1,3,0,2,4,3,1,4,7.92,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,5
404,2,1,1,2,0,0,3,5,4,4,8.41,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,5
417,3,2,1,3,0,0,3,4,2,5,8.92,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,5
436,1,1,2,1,1,1,4,3,2,4,9.18,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,5
441,1,1,1,2,0,1,4,3,5,4,7.42,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,5
452,2,2,3,2,0,1,4,5,4,4,0.0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,5
457,1,2,1,1,0,2,5,5,3,4,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,5
473,2,1,2,1,0,0,4,3,4,4,7.19,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,5
479,2,2,1,1,0,2,5,3,5,4,8.08,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,5
490,1,1,2,1,1,2,2,3,2,4,7.92,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,5
493,0,1,2,1,0,2,4,4,5,5,7.69,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,5
540,3,2,2,1,0,2,3,3,1,5,6.69,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,5
554,1,1,2,1,0,2,5,5,4,3,7.46,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,5
555,1,2,1,3,0,1,3,4,3,5,7.69,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,5
556,1,2,1,1,0,0,4,4,5,4,7.69,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,5
571,2,1,2,1,3,0,4,3,5,4,9.31,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,5
580,1,1,3,1,1,1,4,4,5,4,10.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,5
587,2,2,1,2,1,2,3,3,4,3,8.04,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,5
590,1,1,3,2,2,2,4,4,5,3,9.85,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,5
600,1,1,3,1,0,1,2,3,4,4,9.42,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,5
607,2,1,2,2,0,1,3,3,2,5,9.96,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,5
627,1,2,3,1,0,2,3,3,3,3,10.0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,5
632,1,1,2,2,1,1,3,3,3,4,7.0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,5
645,3,1,1,2,0,2,3,4,1,4,6.92,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,5
