,Medu,Fedu,traveltime,studytime,failures,internship,freetime,goout,health,absences,GPA,sex_F,famsize_GT3,Mjob_at_home,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_at_home,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,guardian_father,guardian_mother,guardian_other,extra_learning_yes,sports_yes,higher_yes,cluster
0,4,4,2,2,0,0,3,4,3,4,9.08,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
29,4,4,1,2,0,0,4,5,5,4,8.42,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0
37,4,4,2,3,0,2,4,3,5,4,7.27,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0
49,4,4,1,2,0,1,4,4,3,2,7.08,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0
52,4,2,2,1,0,0,5,5,5,4,6.15,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
85,4,4,2,2,0,0,4,4,5,4,5.85,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
98,4,4,1,1,0,0,3,4,1,4,6.65,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0
109,4,4,1,3,0,1,4,5,4,2,0.0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0
110,4,4,1,1,0,2,5,3,4,4,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0
116,4,4,2,2,0,1,4,3,2,4,9.21,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0
119,3,4,1,1,0,1,4,3,4,2,0.0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
123,4,4,1,1,0,1,4,4,5,4,8.62,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
125,3,4,1,1,0,2,5,5,5,2,0.0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
140,3,4,3,2,0,0,4,5,5,2,7.73,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
184,3,4,3,1,1,1,4,5,2,4,7.58,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0
232,2,3,2,1,0,0,3,3,3,4,7.26,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
309,4,2,1,2,0,0,4,5,5,4,8.26,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
320,4,4,1,2,1,0,4,4,4,2,6.56,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0
341,4,4,2,2,0,1,3,4,2,2,5.93,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
353,1,4,1,2,0,0,4,4,5,2,0.0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
356,4,4,1,1,0,1,4,4,5,2,0.0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0
363,3,4,1,1,0,0,4,4,1,4,8.46,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0
364,4,4,1,1,0,1,3,4,5,2,8.56,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0
368,4,4,1,1,0,1,2,5,5,2,6.58,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
415,4,4,1,1,1,1,2,5,5,5,7.38,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
426,3,3,2,1,0,2,4,4,5,4,0.0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
438,2,3,2,1,0,1,5,5,3,2,8.12,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
444,3,4,3,2,0,0,4,5,5,4,7.56,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
450,2,3,3,2,0,1,5,4,1,2,0.0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
470,3,3,1,2,0,1,5,4,1,4,7.12,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
522,4,4,1,2,0,1,3,4,3,4,7.96,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
523,4,4,1,4,0,0,5,5,5,2,7.77,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
543,4,4,3,1,3,1,3,3,5,2,7.23,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
578,3,3,2,2,1,0,5,4,3,4,10.0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
595,4,4,1,1,0,0,4,5,5,3,9.81,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0
599,4,4,3,1,0,2,5,5,1,5,10.0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0
612,4,3,2,2,1,0,5,5,2,4,7.98,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0
620,4,4,1,2,0,2,3,4,1,4,9.85,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0
629,1,2,1,1,0,0,5,5,1,4,6.92,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0
636,4,4,1,2,0,0,2,4,2,4,8.85,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0
638,2,3,2,2,0,0,4,3,3,4,9.33,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0
643,4,4,3,1,0,1,4,3,5,4,7.69,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0
