,Medu,Fedu,traveltime,studytime,failures,internship,freetime,goout,health,absences,GPA,sex_F,famsize_GT3,Mjob_at_home,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_at_home,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,guardian_father,guardian_mother,guardian_other,extra_learning_yes,sports_yes,higher_yes,cluster
40,2,2,2,2,0,1,3,3,3,16,9.23,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,4
44,2,2,2,2,1,2,3,3,5,14,6.96,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,4
79,3,4,1,2,0,1,4,3,3,14,7.96,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,4
103,3,2,2,2,0,0,3,5,2,16,7.27,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,4
118,1,3,3,2,1,1,2,4,5,14,8.11,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,4
161,4,4,1,1,0,0,3,2,5,16,9.37,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,4
169,1,2,1,1,3,0,2,2,5,14,6.89,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,4
206,1,2,2,2,0,1,4,4,5,16,6.8,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,4
211,3,3,3,1,0,2,3,4,3,16,7.11,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,4
219,3,4,1,3,1,1,4,3,5,14,6.11,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,4
225,4,4,1,2,0,1,3,5,3,15,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,4
230,4,3,1,2,0,2,4,5,1,16,6.15,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,4
253,2,4,2,2,1,2,3,3,3,18,7.56,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,4
254,2,2,1,2,1,2,3,1,5,16,6.7,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,4
255,3,3,2,1,1,2,1,1,3,14,5.63,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,4
262,1,4,4,1,1,1,5,4,5,14,6.36,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,4
263,2,2,1,2,0,1,5,4,2,16,0.0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,4
311,3,3,1,2,0,0,3,5,5,16,6.74,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,4
318,3,2,2,2,0,1,1,1,5,15,8.74,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,4
326,3,2,1,1,0,2,4,4,3,18,6.64,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,4
365,4,3,1,2,0,0,2,2,5,14,8.92,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,4
397,2,2,1,2,0,2,3,1,4,18,7.56,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,4
405,2,3,2,1,1,2,2,3,5,16,7.87,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4
418,2,3,1,1,0,1,1,3,4,13,7.46,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,4
