,Medu,Fedu,traveltime,studytime,failures,internship,freetime,goout,health,absences,GPA,sex_F,famsize_GT3,Mjob_at_home,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_at_home,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,guardian_father,guardian_mother,guardian_other,extra_learning_yes,sports_yes,higher_yes,cluster
4,3,3,1,2,0,0,3,2,5,0,7.12,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,2
8,3,2,1,2,0,1,2,2,1,0,8.62,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,2
27,4,2,1,1,0,0,2,4,1,0,0.0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2
68,2,2,2,2,0,1,1,3,4,0,7.5,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2
80,2,3,1,1,0,1,2,2,3,0,5.85,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,2
130,3,4,2,3,0,0,2,2,5,0,7.37,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,2
167,4,4,1,1,0,0,2,1,4,0,8.29,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,2
181,4,2,1,2,0,2,2,3,3,0,9.22,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2
182,2,2,1,2,0,2,1,5,4,0,9.36,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,2
195,3,3,1,2,0,2,2,3,3,0,0.0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,2
207,3,3,1,1,0,1,3,2,5,0,8.26,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,2
208,2,3,2,1,0,2,3,3,3,0,9.63,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,2
244,4,3,1,2,0,0,2,3,3,0,7.96,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,2
278,2,3,2,1,0,0,2,2,2,2,7.18,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,2
297,2,2,2,1,0,1,2,2,4,0,8.59,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,2
300,4,3,1,2,0,1,1,2,2,2,8.52,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,2
323,4,3,2,1,0,2,2,3,1,0,7.89,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,2
346,4,4,2,1,0,1,1,1,5,0,6.11,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,2
412,4,2,1,2,0,2,2,2,3,0,7.38,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,2
437,0,2,2,1,0,0,2,3,2,0,7.04,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,2
439,3,3,2,1,0,0,1,3,4,0,9.14,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,2
469,4,4,1,2,0,2,3,1,3,0,7.77,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,2
513,3,1,1,1,0,1,1,3,1,0,9.38,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,2
514,3,2,1,1,0,1,1,3,3,2,3.46,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,2
529,4,4,2,1,0,1,1,3,5,1,7.81,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,2
533,2,1,1,2,0,2,2,2,3,0,8.31,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,2
534,4,4,1,1,0,0,1,2,5,0,9.23,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,2
541,2,2,2,2,0,0,1,3,5,0,7.42,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,2
544,1,3,2,1,0,2,1,2,5,2,8.65,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,2
547,4,1,1,1,0,0,1,2,2,0,8.62,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,2
550,2,2,2,2,0,2,1,2,5,0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,2
551,3,2,2,2,0,1,1,2,1,0,7.35,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,2
563,2,2,1,1,1,0,2,1,5,0,7.69,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,2
588,4,1,1,1,0,1,2,2,5,0,10.0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2
609,1,2,2,2,0,1,1,1,4,0,10.0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2
615,3,2,2,2,0,2,2,3,5,0,10.0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,2
621,1,2,2,2,0,0,2,2,3,0,10.0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,2
623,4,4,2,3,0,2,2,2,5,0,10.0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,2
625,2,3,2,1,0,2,2,3,4,0,10.0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2
626,4,4,3,2,0,0,2,2,5,0,9.92,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,2
634,3,3,1,2,0,0,1,3,1,1,7.67,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,2
