,Medu,Fedu,traveltime,studytime,failures,internship,freetime,goout,health,absences,GPA,sex_F,famsize_GT3,Mjob_at_home,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_at_home,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,guardian_father,guardian_mother,guardian_other,extra_learning_yes,sports_yes,higher_yes,cluster
9,3,4,1,2,0,0,5,1,5,0,0.0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,16
12,4,4,1,1,0,1,3,3,5,0,8.46,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,16
13,4,3,2,2,0,0,4,3,3,0,7.38,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,16
21,4,4,1,1,0,0,4,2,5,0,6.92,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,16
30,4,4,1,2,0,0,4,2,5,0,8.0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,16
32,4,3,1,2,0,1,5,2,5,0,9.08,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,16
36,4,3,1,3,0,1,4,3,4,0,7.69,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,16
42,4,4,1,2,0,1,3,3,5,0,7.54,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,16
53,4,4,1,1,0,0,3,4,5,0,9.04,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,16
54,3,3,1,1,0,2,3,4,1,0,6.15,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,16
60,4,4,1,2,0,2,4,4,4,0,8.77,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,16
63,4,3,1,3,0,0,4,4,4,0,6.96,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,16
64,4,3,1,2,0,1,4,4,2,0,7.08,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,16
66,4,4,1,4,0,1,3,3,3,0,9.08,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,16
75,4,3,1,2,0,0,3,3,5,0,8.92,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,16
101,4,4,1,3,0,0,4,3,4,0,6.77,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,16
104,3,4,1,2,0,1,4,4,1,0,4.96,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,16
126,3,4,1,2,0,1,3,2,1,0,8.81,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,16
151,4,4,1,3,0,1,3,3,5,0,8.52,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,16
168,2,3,1,2,0,2,4,4,1,0,9.7,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,16
183,4,4,1,2,0,1,4,2,3,0,8.07,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,16
186,4,4,1,2,0,1,4,4,5,0,10.0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,16
187,1,3,1,2,0,1,3,5,3,0,8.19,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,16
189,4,3,2,2,0,2,4,4,4,0,7.59,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,16
196,2,4,1,2,0,1,4,2,5,0,9.67,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,16
213,4,4,1,2,0,1,5,2,3,0,7.22,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,16
241,2,3,1,2,0,1,3,3,3,0,7.11,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,16
246,4,4,1,2,0,1,5,5,2,0,7.3,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,16
247,4,4,1,2,0,1,2,4,1,0,8.22,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,16
268,4,4,2,2,0,1,3,3,4,0,0.0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,16
335,4,4,1,2,0,1,4,3,2,0,9.26,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,16
340,3,3,1,1,0,1,4,3,5,0,0.0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,16
344,4,4,1,1,0,0,4,2,1,0,6.04,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,16
345,4,4,1,2,0,2,2,4,4,0,5.85,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,16
347,4,4,2,3,0,0,3,4,5,0,7.63,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,16
352,3,3,1,2,0,2,5,3,5,0,0.0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,16
362,4,4,1,2,0,1,4,4,5,0,7.35,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,16
366,3,3,1,2,0,1,3,3,5,0,9.14,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,16
377,4,4,1,3,0,2,3,3,3,0,8.27,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,16
380,4,4,1,3,0,0,4,4,4,0,9.02,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,16
386,2,4,1,3,0,0,4,3,5,0,8.31,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,16
395,4,4,1,2,0,1,3,3,2,0,8.23,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,16
401,4,3,1,3,0,0,4,5,5,0,6.64,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,16
402,4,3,1,3,0,1,4,3,4,0,9.23,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,16
427,2,3,2,2,0,1,5,2,5,0,8.58,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,16
433,4,4,2,1,0,0,5,1,5,0,7.96,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,16
446,3,3,1,2,0,0,3,3,5,0,7.5,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,16
480,2,3,1,1,1,1,4,4,2,0,8.5,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,16
516,4,4,1,2,0,2,3,3,2,0,7.15,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,16
521,2,3,2,2,0,2,3,3,2,0,8.69,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,16
525,4,4,1,3,0,0,4,3,5,0,7.85,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,16
542,4,4,2,3,0,0,3,5,5,1,9.15,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,16
546,4,4,1,2,0,2,2,5,5,0,7.0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,16
579,1,3,1,1,0,2,3,3,3,0,9.96,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,16
592,3,3,2,1,0,0,4,3,4,0,9.77,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,16
594,4,4,2,2,0,1,3,5,1,0,10.0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,16
613,3,3,1,2,0,2,3,4,5,0,10.0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,16
622,1,3,2,2,0,1,3,4,3,0,9.92,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,16
