,Medu,Fedu,traveltime,studytime,failures,internship,freetime,goout,health,absences,GPA,sex_F,famsize_GT3,Mjob_at_home,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_at_home,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,guardian_father,guardian_mother,guardian_other,extra_learning_yes,sports_yes,higher_yes,cluster
14,2,2,1,3,0,0,5,2,3,0,7.73,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,9
22,4,2,1,2,0,1,5,1,5,0,8.62,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,9
43,2,2,1,1,0,0,4,1,1,0,7.54,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,9
58,1,2,1,2,0,2,3,2,5,0,8.31,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,9
62,1,2,1,2,0,2,4,3,1,0,7.31,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,9
73,3,1,1,1,0,1,3,2,5,0,7.81,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,9
78,2,1,2,1,3,1,5,1,3,0,6.5,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,9
92,3,1,1,2,0,1,3,3,2,0,6.27,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,9
127,0,1,1,2,2,1,4,2,5,0,8.73,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,9
156,1,1,1,2,0,1,4,2,5,0,7.33,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,9
157,2,1,2,1,0,1,4,2,5,0,9.15,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,9
200,1,2,1,1,0,0,3,3,3,0,8.0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,9
205,1,1,1,2,0,1,3,3,3,0,8.93,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,9
245,2,2,2,2,0,2,5,2,1,0,6.59,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,9
250,2,2,1,2,0,0,4,2,4,0,7.52,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,9
281,0,2,1,1,0,2,3,2,5,0,7.37,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,9
286,2,1,1,1,0,0,4,2,5,0,8.67,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,9
290,2,2,1,2,0,2,3,3,5,0,8.15,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,9
314,1,2,1,2,0,1,5,2,1,2,7.59,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,9
322,3,2,1,2,1,0,3,3,3,0,8.89,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,9
331,1,1,1,2,0,0,3,3,4,0,7.37,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,9
351,3,2,1,1,2,0,5,3,5,0,0.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,9
374,3,1,1,3,0,1,4,3,5,0,7.75,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,9
389,2,2,1,2,0,1,3,3,2,0,7.06,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,9
394,3,2,1,2,0,2,3,3,2,0,6.38,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,9
435,1,1,2,2,0,0,4,3,4,0,8.92,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,9
442,4,1,1,2,0,0,3,4,2,0,8.6,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,9
451,1,2,2,2,0,2,3,3,5,0,6.68,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,9
455,2,1,1,2,0,2,4,2,2,0,7.12,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,9
456,1,1,1,2,0,1,4,3,2,0,8.58,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,9
478,1,1,2,2,3,1,4,3,1,0,8.35,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,9
486,2,2,1,1,1,1,4,3,3,1,7.81,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,9
489,1,1,2,1,1,1,4,3,4,0,8.54,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,9
498,2,1,1,2,0,1,3,3,1,0,8.35,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,9
507,1,1,1,3,0,2,3,3,3,0,9.15,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,9
562,2,2,1,2,0,1,4,3,1,0,6.96,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,9
567,3,2,1,1,1,0,3,1,5,0,7.88,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,9
584,0,0,2,1,0,2,4,3,5,0,10.0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,9
589,1,2,1,1,0,0,5,1,3,0,10.0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,9
593,1,2,2,2,0,2,4,3,4,0,9.96,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,9
596,4,2,2,2,0,2,3,3,4,0,9.81,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,9
637,2,1,2,1,0,2,4,3,5,0,7.7,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,9
639,1,1,2,1,1,1,3,2,5,0,7.48,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,9
640,4,2,2,1,1,2,4,3,3,0,8.58,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,9
