,Medu,Fedu,traveltime,studytime,failures,internship,freetime,goout,health,absences,GPA,sex_F,famsize_GT3,Mjob_at_home,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_at_home,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,guardian_father,guardian_mother,guardian_other,extra_learning_yes,sports_yes,higher_yes,cluster
16,4,4,1,3,0,2,2,3,2,10,5.96,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1
26,2,2,1,1,0,1,2,2,5,8,7.42,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1
39,2,2,1,1,0,2,3,1,2,8,6.65,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1
57,4,4,1,2,0,0,2,2,5,8,6.08,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1
105,3,3,1,4,0,1,3,3,4,10,6.23,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1
132,2,1,3,1,0,1,2,2,5,8,9.52,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1
135,3,4,1,1,0,1,2,1,5,12,7.44,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1
143,3,2,1,3,0,0,3,3,5,10,9.03,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1
144,1,1,2,1,0,2,3,3,1,8,9.54,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1
174,2,1,2,1,1,0,3,2,5,8,8.44,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1
192,4,2,1,1,0,2,3,3,3,8,9.33,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1
198,3,2,1,2,0,1,2,2,1,8,7.63,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1
202,3,3,1,2,0,0,3,3,3,10,9.78,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1
209,2,4,1,2,0,2,3,2,5,8,7.95,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1
231,3,3,1,2,0,0,2,4,4,10,7.85,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1
237,2,2,2,2,3,0,3,3,4,9,6.81,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1
259,1,1,1,3,0,1,3,2,4,10,6.63,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1
264,2,2,1,1,1,1,1,2,1,8,7.81,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
273,3,3,2,3,0,0,2,2,5,10,0.0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1
274,1,1,1,2,0,0,3,2,4,10,7.11,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1
280,3,3,1,2,0,2,3,3,5,8,8.22,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1
299,2,1,2,2,0,1,2,3,2,8,7.59,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1
321,2,2,3,3,0,0,2,3,1,8,6.74,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1
330,2,1,2,2,0,0,3,1,5,10,6.41,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1
358,4,3,2,1,0,0,2,4,1,8,6.338,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1
360,3,3,1,2,0,0,1,4,3,8,8.0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1
414,1,1,2,3,0,0,2,2,3,8,7.31,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1
420,2,2,2,2,0,0,1,4,4,10,8.12,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1
512,1,1,1,2,1,0,3,2,5,9,8.5,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1
518,2,4,1,2,1,0,3,2,1,8,8.62,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1
530,3,3,1,1,0,2,1,4,3,8,8.0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1
539,4,1,2,2,0,0,2,4,1,8,7.73,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1
573,1,1,1,1,0,1,3,2,5,9,10.0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1
598,1,2,2,1,0,0,1,4,1,8,9.96,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1
628,2,2,1,3,0,1,4,3,3,8,8.5,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1
