,Medu,Fedu,traveltime,studytime,failures,internship,freetime,goout,health,absences,GPA,sex_F,famsize_GT3,Mjob_at_home,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_at_home,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,guardian_father,guardian_mother,guardian_other,extra_learning_yes,sports_yes,higher_yes,cluster
100,4,4,1,1,0,0,5,5,4,12,6.73,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,13
112,2,2,1,2,1,1,1,2,5,12,7.08,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,13
113,4,2,1,1,0,0,5,2,3,10,0.0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,13
131,2,1,1,2,3,0,4,5,5,10,8.29,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,13
137,2,2,1,1,1,1,3,4,5,12,10.0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,13
179,3,2,2,1,3,0,5,2,2,10,7.73,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,13
227,2,2,1,2,0,0,4,4,5,10,7.52,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,13
235,1,1,1,3,0,0,3,4,5,12,6.67,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,13
275,2,1,2,3,0,0,4,4,3,10,8.3,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,13
279,3,1,1,1,3,2,4,5,1,12,7.96,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,13
310,2,1,2,2,0,0,3,5,3,12,9.7,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,13
312,2,3,1,4,0,1,5,5,2,10,7.37,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,13
324,1,2,2,1,0,1,4,4,4,10,7.26,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,13
329,2,2,1,2,0,0,4,5,5,12,7.06,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,13
369,1,1,3,3,0,0,5,5,5,12,8.0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,13
403,2,1,2,2,0,0,3,4,1,10,8.27,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,13
408,2,2,1,2,0,1,4,4,3,11,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,13
416,3,2,1,2,0,2,4,4,5,10,6.38,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,13
419,2,1,1,1,0,2,3,4,4,10,6.92,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,13
423,1,3,2,1,0,1,3,3,5,11,8.31,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,13
465,1,2,1,2,1,2,4,4,5,9,8.88,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,13
477,3,3,2,1,0,2,3,3,3,11,7.96,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,13
491,1,1,2,2,1,0,1,4,1,12,9.58,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,13
500,1,2,1,1,1,0,3,5,1,12,7.54,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,13
535,1,2,3,2,0,1,5,5,5,11,8.27,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,13
537,2,1,1,1,0,0,3,3,5,11,8.0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,13
574,1,1,2,1,1,0,4,3,4,12,10.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,13
635,3,1,1,2,0,2,5,4,1,10,7.38,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,13
