,Medu,Fedu,traveltime,studytime,failures,internship,freetime,goout,health,absences,GPA,sex_F,famsize_GT3,Mjob_at_home,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_at_home,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,guardian_father,guardian_mother,guardian_other,extra_learning_yes,sports_yes,higher_yes,cluster
7,4,4,2,2,0,1,1,4,1,2,8.92,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,8
10,4,4,1,2,0,2,3,3,2,2,8.08,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,8
17,3,3,3,2,0,1,3,2,4,2,7.85,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,8
24,2,4,1,3,0,1,3,2,5,2,0.0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,8
28,3,4,1,2,0,0,3,3,5,2,8.54,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,8
31,4,4,2,2,0,1,3,1,5,2,6.77,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,8
38,3,4,1,3,0,0,3,2,5,2,0.0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,8
47,4,3,1,4,0,1,2,2,2,2,7.46,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,8
65,4,3,3,2,0,2,4,3,1,2,9.54,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,8
74,3,3,1,2,0,0,3,3,5,4,6.65,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,8
81,2,3,1,3,0,1,3,2,5,2,9.23,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,8
90,3,3,1,3,0,0,3,3,4,2,8.62,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,8
102,4,4,1,1,0,0,3,3,5,2,7.58,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,8
122,2,4,2,2,0,0,2,2,5,2,9.3,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,8
138,3,4,4,2,0,1,3,3,5,2,8.89,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,8
139,4,4,1,3,0,0,3,3,5,4,8.26,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,8
153,4,4,1,3,0,1,2,2,5,2,6.33,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,8
158,3,2,1,2,1,2,3,2,3,2,7.4,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,8
165,3,3,2,3,0,0,2,1,3,2,9.3,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,8
177,1,3,1,1,1,0,3,3,2,2,8.07,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,8
224,3,3,1,4,0,1,3,3,3,4,6.81,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,8
238,4,4,1,3,0,0,3,2,5,4,7.41,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,8
