,Medu,Fedu,traveltime,studytime,failures,internship,freetime,goout,health,absences,GPA,sex_F,famsize_GT3,Mjob_at_home,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_at_home,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,guardian_father,guardian_mother,guardian_other,extra_learning_yes,sports_yes,higher_yes,cluster
15,4,4,1,1,0,1,4,4,2,6,6.81,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,11
41,4,4,1,1,0,1,4,3,5,8,7.23,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,11
46,3,3,1,2,0,1,3,5,3,6,9.23,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,11
86,2,2,1,2,0,0,3,4,2,6,6.62,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,11
91,4,3,1,1,0,2,5,5,1,6,7.31,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,11
108,4,4,4,4,0,2,3,5,1,8,5.62,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,11
115,4,4,1,2,0,1,4,4,5,6,9.56,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,11
121,2,2,1,4,0,0,5,4,5,6,9.54,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,11
128,4,4,1,1,0,0,5,5,4,8,8.63,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,11
160,1,2,1,2,0,1,3,4,1,6,0.0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,11
164,2,1,1,1,1,0,4,4,5,6,9.67,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,11
166,3,2,1,1,0,0,5,4,4,6,0.0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,11
170,1,1,3,1,3,1,2,5,4,6,9.73,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,11
199,3,3,1,2,0,2,3,4,4,6,6.7,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,11
218,2,2,2,4,0,1,3,5,5,6,8.0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,11
267,4,3,2,2,0,1,5,5,5,8,7.15,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,11
269,4,3,1,1,0,0,4,5,3,7,5.56,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,11
276,2,1,3,1,0,0,3,3,4,7,9.15,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,11
282,3,2,2,1,0,2,4,5,5,8,8.96,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,11
305,2,2,2,1,0,0,4,4,4,8,8.52,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,11
306,3,4,2,2,0,0,2,5,1,6,8.37,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,11
308,4,4,2,2,0,0,3,4,4,8,6.59,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,11
315,2,1,1,2,0,1,2,5,1,8,8.11,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,11
317,2,2,2,2,0,1,4,4,5,6,9.04,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,11
319,4,4,2,1,0,2,2,4,3,6,6.85,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,11
361,4,2,2,2,0,2,4,4,1,9,7.62,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,11
388,3,3,1,2,0,0,3,4,4,8,7.77,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,11
390,2,2,2,4,0,0,4,4,4,6,7.68,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,11
391,3,4,1,3,0,1,4,5,5,8,7.92,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,11
409,3,4,1,2,0,1,3,5,2,9,8.77,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,11
443,4,1,1,2,0,0,3,4,2,7,6.08,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,11
445,1,1,4,2,0,1,4,5,4,8,8.18,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,11
447,2,1,3,1,0,2,5,5,3,8,7.65,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,11
464,1,1,2,1,0,0,4,4,5,6,7.65,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,11
484,2,2,1,1,0,2,3,4,1,6,7.81,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,11
501,4,3,1,1,0,0,2,5,5,8,7.12,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,11
506,3,3,2,2,1,2,3,4,3,8,7.27,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,11
515,1,1,2,2,0,1,3,5,3,8,6.69,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,11
536,2,2,3,4,0,1,4,5,5,8,7.69,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,11
545,3,4,1,2,1,1,4,4,5,8,7.85,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,11
569,3,3,1,2,2,2,4,5,3,9,8.58,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,11
570,2,2,2,1,0,1,4,3,4,6,9.96,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,11
572,3,2,2,2,2,2,5,5,1,8,8.44,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,11
575,4,3,1,1,0,0,4,4,2,8,9.85,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,11
576,3,2,2,1,0,2,5,5,5,8,10.0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,11
577,1,1,3,2,1,1,4,4,2,8,10.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,11
647,3,1,2,1,0,0,4,5,2,6,7.75,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,11
